"species","anemogamous","autogamous","entomogamous","annual","biennial","perennial","lfp","min_height","max_height","bfp","spikiness","hairy_leaves"
"arisarum_vulgare",0,0,1,0,0,1,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0
"alisma_plantago_aquatica",0,0,1,0,0,1,1.38629436111989,-2.30258509299405,0,7.5,0,0
"damasonium_alisma",0,0,1,1,1,1,1.79175946922805,-2.99573227355399,-1.20397280432594,6.5,0,0
"asphodelus_aetivus",0,0,1,0,0,1,1.6094379124341,0,0.405465108108164,4,0,0
"narcissus_tazetta",0,0,1,0,0,1,1.6094379124341,-1.6094379124341,-0.693147180559945,2,0,0
"narcissus_elegans",0,0,1,0,0,1,0.693147180559945,-2.52572864430826,-1.38629436111989,10.5,0,0
"drimia_numidica",0,0,1,0,0,1,1.38629436111989,0,0.587786664902119,8.5,0,0
"scilla_autumnalis",0,0,1,0,0,1,1.09861228866811,-2.30258509299405,-1.20397280432594,9,0,0
"juncus_maritimus",1,0,0,0,0,1,1.38629436111989,-0.693147180559945,0,7.5,2,0
"juncus_acutus",1,0,0,0,0,1,1.09861228866811,-1.38629436111989,0.693147180559945,6,2,0
"bolboschoenus_maritimus",1,0,0,0,0,1,2.30258509299405,-1.20397280432594,0.182321556793955,7.5,1,0
"schoenoplectus_litoralis",1,0,0,0,0,1,1.38629436111989,-1.20397280432594,0.693147180559945,6.5,2,0
"eleocharis_uniglumis",1,0,0,0,0,1,1.38629436111989,-1.89711998488588,-0.22314355131421,8.5,0,0
"cynosurus_polybracteatus",1,0,0,1,0,0,0.693147180559945,-1.6094379124341,-0.22314355131421,4.5,0,1
"avena_fatua",1,1,0,1,0,0,1.6094379124341,-0.510825623765991,0.405465108108164,6,0,1
"phalaris_coerulescens",1,0,0,0,0,1,1.38629436111989,-0.693147180559945,0.182321556793955,5.5,0,0
"hordeum_marinum",1,0,0,1,0,0,1.94591014905531,-2.30258509299405,-0.916290731874155,7,0,1
"lolium_rigidum",1,0,0,1,0,0,1.38629436111989,-2.30258509299405,-0.510825623765991,6.5,0,0
"lolium_multiflorum",1,0,0,1,0,0,1.38629436111989,-1.20397280432594,0,6.5,0,0
"cynodon_dactylon",1,0,0,0,0,1,2.14006616349627,-2.30258509299405,-0.916290731874155,6.941176471,0,1
"aeluropus_littoralis",1,0,0,0,0,1,1.79175946922805,-2.99573227355399,-1.38629436111989,5.5,0,1
"crypsis_alopecuroides",1,0,0,1,0,0,1.38629436111989,-2.99573227355399,-1.04982212449868,8.5,0,2
"phragmites_australis",1,0,0,0,0,1,1.09861228866811,-0.510825623765991,2.07944154167984,8,0,0
"atriplex_prostrata",1,1,0,1,0,0,1.79175946922805,-2.30258509299405,0,7.5,0,0
"halimione_portulacoides",1,0,0,0,0,1,1.6094379124341,-1.6094379124341,-0.22314355131421,8,0,0
"sarcocornia_fruticosa",1,0,0,0,0,1,1.6094379124341,-2.30258509299405,0,8,0,0
"arthrocnemum_macrostachyum",1,0,0,0,0,1,1.94591014905531,-2.30258509299405,0,7,0,0
"beta_vulgaris",1,0,0,1,1,1,1.79175946922805,-2.30258509299405,0.693147180559945,6.5,0,0
"rumex_bucephalophorus",1,0,0,1,0,0,1.38629436111989,-2.99573227355399,-0.916290731874155,3.5,0,0
"centaurium_spicatum",0,1,1,1,0,0,1.6094379124341,-2.30258509299405,-0.510825623765991,8,0,0
"borago_officinalis",0,0,1,1,0,0,1.70474809223843,-1.6094379124341,-0.510825623765991,5.454545455,1,2
"mentha_pulegium",0,0,1,0,0,1,1.94591014905531,-2.30258509299405,-0.693147180559945,7,0,1
"stachys_marrubiifolia",0,0,1,1,0,0,1.09861228866811,-2.30258509299405,-0.916290731874155,5,0,2
"plantago_coronopus",1,0,0,1,1,1,1.94591014905531,-3.91202300542815,-0.916290731874155,7,0,1
"cressa_cretica",0,1,1,0,0,1,1.09861228866811,-2.30258509299405,-1.38629436111989,8,0,2
"convolvulus_arvensis",0,1,1,0,0,1,1.94591014905531,-1.6094379124341,0,7,0,0
"convolvulus_tricolor",0,0,1,1,0,0,1.09861228866811,-1.6094379124341,-0.510825623765991,5,0,1
"carlina_racemosa",0,1,1,1,0,0,0.693147180559945,-2.30258509299405,-0.693147180559945,9.5,2,2
"carlina_lanata",0,1,1,1,0,0,0.693147180559945,-2.99573227355399,-1.20397280432594,7.5,2,2
"galactites_mutabilis",0,0,1,1,0,0,1.09861228866811,-1.6094379124341,-0.510825623765991,5,2,2
"scolymus_hispanicus",0,0,1,0,0,1,1.09861228866811,-1.6094379124341,-0.105360515657826,8,2,0
"cichorium_intybus",0,1,1,0,0,1,1.6094379124341,-1.20397280432594,0,8,0,1
"picris_echioides",0,1,1,1,1,1,1.38629436111989,-1.20397280432594,0.78845736036427,7.5,1,2
"leontodon_tuberosus",0,0,1,0,0,1,1.79175946922805,-2.30258509299405,-0.916290731874155,9.166666667,0,1
"sonchus_oleraceus",0,0,1,0,1,0,2.39789527279837,-2.30258509299405,0.336472236621213,7,0,0
"chamaemelum_fuscatum",0,1,1,1,0,0,2.07944154167984,-2.30258509299405,-1.20397280432594,2.5,0,0
"dittrichia_graveolens",0,1,1,1,0,0,1.09861228866811,-2.30258509299405,-0.693147180559945,9,0,2
"eryngium_pusillum",0,0,1,0,1,0,1.09861228866811,-2.30258509299405,-1.20397280432594,5,1,0
"ridolfia_segetum",0,0,1,1,0,0,1.38629436111989,-2.99573227355399,0,6.5,0,0
"ammi_visnaga",0,0,1,1,0,0,1.38629436111989,-1.6094379124341,0,7.5,0,0
"lythrum_tribracteatum",0,0,1,1,0,0,1.6094379124341,-2.30258509299405,-1.6094379124341,7,0,0
"diplotaxis_erucoides",0,1,1,0,0,0,2.39789527279837,-2.30258509299405,-0.693147180559945,2.5,0,1
"chrozophora_tinctoria",0,0,1,1,0,0,1.94591014905531,-2.30258509299405,-0.916290731874155,7,1,2
"medicago_intertexta",0,0,1,1,0,0,0.693147180559945,-1.20397280432594,-0.356674943938732,4.5,0,1
"trifolium_squamosum",0,0,1,1,0,0,1.38629436111989,-2.30258509299405,-0.916290731874155,5.5,0,2
"hedysarum_coronarium",0,0,1,0,0,1,1.09861228866811,-1.6094379124341,0,5,0,1
